     group  N         t1            t2 pr.g1 pr.g2 mean.corr1    mean.corr2
30      30  3  29.740808  4.047457e+00  0.00  0.04  0.7806095  0.2497427644
429    429  4  48.943864  8.804902e-01  0.00  0.22  0.6167317  0.0904075205
29      29  6  40.359422  1.442746e+00  0.00  0.07  0.6707824  0.1450404878
131    131  8  42.890209  1.744949e+00  0.00  0.09  0.6688911  0.1442982926
147    147  4  23.441054  1.327487e+00  0.00  0.15  0.6757092  0.1573307462
54      54 17  93.167164  5.255188e+00  0.00  0.00  0.6664849  0.1493534443
137    137  3  27.328259  1.230423e+00  0.00  0.21  0.7166741  0.2000423817
265    265  3  38.745592  1.511806e+00  0.00  0.19  0.7270382  0.2136840277
661    661  3  12.247414  1.242341e+00  0.01  0.21  0.6730518  0.1608796242
500    500  3  15.150870  5.373036e+00  0.01  0.01  0.7184067  0.2069992047
83      83  5  23.179728  1.572172e+00  0.00  0.15  0.6745353  0.1640739686
239    239  4  27.754511  1.643422e+00  0.00  0.11  0.7184749  0.2094715990
233    233  9  36.890042  3.153602e+00  0.00  0.01  0.6830307  0.1745475700
571    571  4  16.039271  9.846580e-01  0.00  0.18  0.6441028  0.1381161287
42      42  3  38.376440  3.868690e+00  0.00  0.04  0.6725332  0.1721603822
524    524  8  36.679751  3.534165e+00  0.00  0.02  0.6824572  0.1838374207
276    276  9  42.176832  3.086343e+00  0.00  0.01  0.6740904  0.1770176321
755    755  3  14.361372  1.631768e+00  0.01  0.16  0.7276529  0.2313935869
170    170  4  20.245260  1.464801e+00  0.00  0.15  0.6425155  0.1483973040
604    604  5  19.149955  2.103439e+00  0.00  0.10  0.6672224  0.1766935085
6        6 28 118.370542  8.281469e+00  0.00  0.00  0.6626025  0.1750659290
484    484  7  46.202102  2.307253e+00  0.00  0.07  0.6479966  0.1662121784
419    419  3  13.876186  8.120721e-01  0.01  0.28  0.6615935  0.1802711357
9        9  6  28.826950  3.077137e+00  0.00  0.02  0.6846762  0.2050086279
543    543  3  12.104342  8.647115e-01  0.01  0.28  0.6580792  0.1803958783
501    501  3  21.887419  8.379859e-01  0.00  0.28  0.6770134  0.2003380594
305    305  8  38.960005  3.131780e+00  0.00  0.03  0.6746779  0.1983491805
234    234 10  65.557913  5.145487e+00  0.00  0.00  0.7162007  0.2438975013
125    125 11  54.413495  4.925362e+00  0.00  0.00  0.6578373  0.1864679876
428    428  6  35.238535  2.269751e+00  0.00  0.03  0.6561252  0.1855348324
751    751  3  26.929661  3.179138e+00  0.00  0.04  0.7255248  0.2570815211
12      12  6  30.739797  2.119084e+00  0.00  0.04  0.7072168  0.2397846330
529    529  3  23.660345  1.714529e+00  0.00  0.16  0.7221696  0.2554264503
557    557  3   7.798070  3.964987e+00  0.02  0.04  0.6432045  0.1778528397
117    117 20  83.240194  6.374832e+00  0.00  0.00  0.6429913  0.1778639962
531    531  3  26.157997  3.313108e+00  0.00  0.04  0.6910317  0.2275845031
114    114 14  75.005369  6.224246e+00  0.00  0.00  0.6739633  0.2115468745
694    694  3  13.342806  1.028737e+00  0.01  0.23  0.6462576  0.1857762977
51      51  3  20.523702  2.393282e+00  0.00  0.07  0.6391431  0.1787623625
656    656  3  18.578039  1.910544e+00  0.01  0.14  0.7666513  0.3065073860
582    582  3  10.614982  9.721759e-01  0.02  0.24  0.6697599  0.2101057115
610    610  5  16.807967  3.025535e+00  0.00  0.05  0.6697541  0.2118307980
462    462  3  22.572891  4.165004e+00  0.00  0.03  0.7292902  0.2718058942
366    366  4  48.192036  1.386750e+00  0.00  0.15  0.7144184  0.2576346300
343    343  3  11.359983  1.068992e+00  0.02  0.22  0.6885734  0.2323162528
203    203  6  31.106912  2.873817e+00  0.00  0.02  0.6611548  0.2053636438
567    567  4  18.373791  9.909394e-01  0.00  0.18  0.6528966  0.1977029457
75      75  4  19.540485  1.593659e+00  0.00  0.13  0.6630218  0.2101260997
430    430  5  32.697973  2.587083e+00  0.00  0.05  0.7061243  0.2537457891
229    229  4  23.557360  1.643094e+00  0.00  0.11  0.6764088  0.2251218076
88      88  4  22.787703  1.743677e+00  0.00  0.08  0.6754887  0.2249749315
620    620  3  21.763866  1.068338e+00  0.00  0.22  0.6864189  0.2359599208
259    259  6  28.249264  2.677822e+00  0.00  0.02  0.6641911  0.2153778098
126    126  3  22.516342  1.260901e+00  0.00  0.21  0.7353458  0.2902528147
514    514  3  22.478706  1.601100e+00  0.00  0.16  0.7594608  0.3185991354
580    580  6  32.906229  2.988299e+00  0.00  0.02  0.6946882  0.2547761388
714    714  4  21.951815  2.176386e+00  0.00  0.03  0.7233021  0.2834350155
293    293  3  17.671225  1.272441e+00  0.01  0.21  0.6325932  0.1930761722
128    128 12  53.946591  5.540499e+00  0.00  0.00  0.7349592  0.2964664174
306    306 10  47.487595  4.559755e+00  0.00  0.00  0.6781245  0.2433065473
719    719  7  34.055907  4.183210e+00  0.00  0.01  0.6733542  0.2415322489
16      16  5  51.589327  2.783812e+00  0.00  0.05  0.6926332  0.2621423979
342    342  3  34.328421  1.643068e+00  0.00  0.16  0.7216144  0.2920667066
182    182  3  53.141010  1.859465e+00  0.00  0.15  0.6580613  0.2305926286
255    255  4  18.744120  3.260142e+00  0.00  0.02  0.6754880  0.2518599049
499    499  4  21.973931  2.007058e+00  0.00  0.04  0.7123020  0.2899400548
49      49  7  24.896136  2.637705e+00  0.00  0.05  0.6540148  0.2365225460
360    360  3  23.268752  1.249135e+00  0.00  0.21  0.7234824  0.3065884846
18      18  9  42.370076  4.872312e+00  0.00  0.00  0.6625705  0.2503694870
551    551  3  13.456649  1.472128e+00  0.01  0.20  0.6793817  0.2671912908
434    434  3  47.255760  2.160288e+00  0.00  0.09  0.6506903  0.2396634212
686    686  3  20.373784  1.079798e+00  0.00  0.22  0.6325719  0.2297309530
536    536  4  17.073747  3.672047e+00  0.00  0.02  0.7431722  0.3417563811
133    133  4  13.252304  3.721819e+00  0.00  0.02  0.6545407  0.2545941518
523    523  3  10.903853  1.665378e+00  0.02  0.16  0.6606698  0.2631901829
370    370 15  63.352013  8.645207e+00  0.00  0.00  0.6554425  0.2588872320
325    325  5  30.369255  4.153346e+00  0.00  0.01  0.6896872  0.2947634651
862    862  4  28.445472  2.576303e+00  0.00  0.03  0.6891814  0.2967639877
46      46 10  47.054722  5.457478e+00  0.00  0.00  0.6642915  0.2729378612
179    179  3  22.937011  2.132911e+00  0.00  0.09  0.7421611  0.3526566481
278    278  3  14.757079  1.743064e+00  0.01  0.16  0.6615104  0.2756425017
134    134  4  40.303896  2.982400e+00  0.00  0.02  0.6864503  0.3028805039
66      66  6  33.292665  4.522789e+00  0.00  0.01  0.7046596  0.3234917847
504    504  3  16.286153  2.575764e+00  0.01  0.06  0.7099688  0.3291039321
242    242  4  19.370592  2.007767e+00  0.00  0.04  0.6533820  0.2763722104
332    332  5  39.267527  4.414516e+00  0.00  0.01  0.7163062  0.3407870669
411    411  3  10.649250  1.958698e+00  0.02  0.13  0.7665535  0.3942681726
572    572  6  32.284344  2.488659e+00  0.00  0.02  0.6614475  0.2939528575
158    158  4  24.354098  2.560067e+00  0.00  0.03  0.6584363  0.2916052087
304    304  3  11.982242  2.231642e+00  0.01  0.07  0.6489294  0.2881543560
231    231  5  24.202187  2.919954e+00  0.00  0.05  0.7004277  0.3436554509
637    637  3  19.303828  2.716897e+00  0.01  0.06  0.6383626  0.2824663031
99      99 63 286.655415  4.196403e+01  0.00  0.00  0.6606489  0.3096068709
106    106  6  30.389600  5.509113e+00  0.00  0.00  0.6478926  0.2973538744
425    425  3  41.671528  3.726841e+00  0.00  0.04  0.7555249  0.4075765100
385    385  3  19.907732  9.199817e+00  0.01  0.00  0.6810989  0.3331649865
262    262  3  34.488696  2.062192e+00  0.00  0.10  0.7010302  0.3538651697
611    611  5  24.101109  3.771824e+00  0.00  0.04  0.6930904  0.3474568566
754    754  7  49.235931  4.064879e+00  0.00  0.01  0.7024630  0.3625785051
86      86  5  31.290891  5.250346e+00  0.00  0.00  0.6837675  0.3479332288
649    649  3  15.534121  1.875679e+00  0.01  0.14  0.6416204  0.3110155846
381    381  3  23.644401  9.800816e+00  0.00  0.00  0.6433336  0.3246366513
100    100  3  15.698227  3.250081e+00  0.01  0.04  0.6780006  0.3633237203
50      50  7  34.382462  5.122417e+00  0.00  0.00  0.6632997  0.3489754590
17      17 22  96.864043  1.761752e+01  0.00  0.00  0.6466739  0.3338929099
841    841  4  11.831194  2.173115e+00  0.00  0.04  0.7912710  0.4821745550
405    405  5  20.060021  2.529137e+00  0.00  0.07  0.6898498  0.3833492357
1020  1020  3  70.991773  6.370693e+00  0.00  0.00  0.8343337  0.5331040284
58      58  5  34.783755  3.990302e+00  0.00  0.03  0.6888932  0.3891304012
292    292  5  44.159104  4.037087e+00  0.00  0.02  0.6914238  0.3947164419
705    705  3 480.232298  3.770339e+00  0.00  0.04  0.6090197  0.3124143596
277    277 12  53.250276  1.110116e+01  0.00  0.00  0.6854769  0.3919038825
586    586  3  19.429124  2.232474e+00  0.01  0.07  0.6964589  0.4031478298
644    644  3  23.654835  4.514418e+00  0.00  0.01  0.6719220  0.3802335119
916    916  3  22.626067  1.312730e+00  0.00  0.21  0.6278588  0.3392984684
55      55  9  46.844314  7.381767e+00  0.00  0.00  0.6487591  0.3656516545
110    110  9  39.705812  8.725754e+00  0.00  0.00  0.6419286  0.3588895152
356    356  5  30.619276  4.876802e+00  0.00  0.01  0.6997805  0.4191177839
217    217  4  21.933758  2.852805e+00  0.00  0.03  0.6829288  0.4086869268
451    451  4  21.842811  3.745681e+00  0.00  0.02  0.7020010  0.4304488608
241    241  5  29.214895  8.952122e+00  0.00  0.00  0.7017988  0.4346698313
295    295  3  15.535494  1.406095e+01  0.01  0.00  0.6464036  0.3805110721
721    721  3  16.653067  2.326754e+00  0.01  0.07  0.6603535  0.3953730355
95      95  3  22.104098  3.123304e+00  0.00  0.04  0.6961839  0.4322191584
97      97  3  11.249138  3.275315e+00  0.02  0.04  0.6911539  0.4367415890
129    129  3  21.332768  2.760624e+00  0.00  0.06  0.6999592  0.4463300699
367    367  6  28.750059  7.323238e+00  0.00  0.00  0.6597186  0.4166170077
410    410  3   8.981975  1.856996e+00  0.02  0.15  0.6613413  0.4188297665
116    116  4  17.111025  6.942845e+00  0.00  0.00  0.6853066  0.4525202768
257    257  3  17.727084  4.452270e+00  0.01  0.02  0.6723435  0.4545360616
700    700  3  77.214025  2.847362e+00  0.00  0.05  0.7152686  0.5096317242
228    228  5  17.864869  4.122140e+00  0.00  0.01  0.6650547  0.4619513637
102    102  7  43.174458  1.090833e+01  0.00  0.00  0.6824714  0.4817308090
974    974  3  11.058436  3.014251e+00  0.02  0.04  0.6809315  0.4805622932
153    153  7  31.719752  1.043085e+01  0.00  0.00  0.6643383  0.5217219273
420    420  6  30.895429  5.771528e+00  0.00  0.00  0.6587436  0.5237457283
215    215  4  19.069452  1.030020e+01  0.00  0.00  0.7213959  0.5896770973
641    641  4  14.359874  2.331855e+01  0.00  0.00  0.6864559  0.5639208104
377    377  3  35.799706  4.034713e+00  0.00  0.04  0.7219889  0.5999941873
590    590  6  37.245021  1.105012e+01  0.00  0.00  0.6796748  0.5620612691
507    507  3  14.798684  5.394658e+00  0.01  0.01  0.6785920  0.5878690930
266    266  6  30.084467  1.386554e+01  0.00  0.00  0.6755738  0.5919454830
855    855  3  22.195592  9.874383e+00  0.00  0.00  0.6868180  0.6113180728
98      98  3  10.080732  5.664874e+00  0.02  0.01  0.6974096  0.6302007747
1        1 61 271.779033  1.414135e+02  0.00  0.00  0.8391141  0.7744402316
695    695  3  15.157700  5.698224e+00  0.01  0.01  0.7197124  0.6862253488
261    261  6  45.202744  2.129546e+01  0.00  0.00  0.7032977  0.6861105173
795    795  4  16.796293  5.956041e+00  0.00  0.01  0.6469240  0.6359757579
724    724  3  16.131363  3.285846e+01  0.01  0.00  0.7066162  0.7304527265
       mean.diff
301   1.12771633
345   1.02652174
225   0.98635015
44    0.97337367
67    0.96803922
809   0.96387648
247   0.96110709
578   0.92450883
33    0.90286169
552   0.87175170
243   0.87037725
152   0.84442856
198   0.83710641
426   0.82427679
373   0.81477107
62    0.81362210
510   0.81275738
151   0.79975032
324   0.79062943
246   0.78443475
800   0.78114433
915   0.77987730
314   0.77831593
206   0.77539561
554   0.76955115
404   0.76330595
123   0.75178959
729   0.74597176
53    0.74065995
589   0.73997992
35    0.72903173
287   0.72812259
280   0.72509346
387   0.71370511
2     0.71196757
193   0.71120501
319   0.70945313
109   0.70692978
157   0.70653373
73    0.70131927
813   0.69906654
302   0.69893326
3     0.69867304
21    0.69433177
264   0.69128024
181   0.69091338
173   0.68860328
472   0.68454108
202   0.67141349
112   0.66611784
477   0.66352494
452   0.66327548
79    0.66103684
168   0.65878150
380   0.65488028
454   0.65372131
394   0.65343044
186   0.65262193
161   0.65136879
409   0.64328247
61    0.64163216
64    0.64013126
298   0.63714283
648   0.63640252
288   0.63311287
461   0.63281912
668   0.63233500
320   0.63045653
768   0.62957898
10    0.62557870
401   0.62240237
307   0.61936746
633   0.61931557
141   0.61853221
221   0.61604548
224   0.61519275
252   0.61507722
96    0.61223728
774   0.61207512
78    0.60640617
720   0.60621487
438   0.60477402
211   0.60460951
533   0.60404032
372   0.60351564
355   0.60102452
199   0.60001313
772   0.59768538
445   0.59760765
475   0.59757999
382   0.59427172
333   0.59400285
121   0.59378968
115   0.59211199
374   0.58767547
659   0.58730376
574   0.58651815
219   0.58130546
379   0.57925214
218   0.57651597
383   0.57570095
273   0.57237423
495   0.57178158
326   0.56872361
70    0.56845166
615   0.56784009
339   0.56472652
162   0.55968760
31    0.55957814
103   0.55679067
723   0.55643967
414   0.55499994
321   0.55414523
799   0.55308874
780   0.55224136
498   0.54938953
138   0.54891683
71    0.54821621
4     0.54794973
743   0.54650244
92    0.54418816
408   0.54084031
521   0.53874559
270   0.53282802
593   0.53239864
731   0.53159502
388   0.53144437
30    0.53086674
429   0.52632417
29    0.52574196
131   0.52459277
147   0.51837846
54    0.51713145
137   0.51663171
265   0.51335416
661   0.51217219
500   0.51140753
83    0.51046137
239   0.50900335
233   0.50848313
571   0.50598663
42    0.50037280
524   0.49861980
276   0.49707277
755   0.49625929
170   0.49411817
604   0.49052894
6     0.48753658
484   0.48178445
419   0.48132232
9     0.47966758
543   0.47768333
501   0.47667536
305   0.47632875
234   0.47230319
125   0.47136928
428   0.47059038
751   0.46844331
12    0.46743222
529   0.46674313
557   0.46535165
117   0.46512730
531   0.46344716
114   0.46241643
694   0.46048127
51    0.46038071
656   0.46014388
582   0.45965419
610   0.45792334
462   0.45748428
366   0.45678374
343   0.45625714
203   0.45579113
567   0.45519370
75    0.45289567
430   0.45237847
229   0.45128701
88    0.45051377
620   0.45045901
259   0.44881326
126   0.44509301
514   0.44086169
580   0.43991201
714   0.43986709
293   0.43951707
128   0.43849276
306   0.43481800
719   0.43182191
16    0.43049075
342   0.42954765
182   0.42746863
255   0.42362814
499   0.42236196
49    0.41749230
360   0.41689388
18    0.41220098
551   0.41219042
434   0.41102689
686   0.40284095
536   0.40141586
133   0.39994653
523   0.39747960
370   0.39655524
325   0.39492369
862   0.39241744
46    0.39135368
179   0.38950445
278   0.38586793
134   0.38356984
66    0.38116784
504   0.38086490
242   0.37700980
332   0.37551912
411   0.37228534
572   0.36749465
158   0.36683113
304   0.36077507
231   0.35677229
637   0.35589632
99    0.35104206
106   0.35053875
425   0.34794836
385   0.34793390
262   0.34716499
611   0.34563351
754   0.33988446
86    0.33583429
649   0.33060478
381   0.31869696
100   0.31467692
50    0.31432424
17    0.31278096
841   0.30909641
405   0.30650057
1020  0.30122967
58    0.29976275
292   0.29670732
705   0.29660531
277   0.29357300
586   0.29331103
644   0.29168850
916   0.28856036
55    0.28310747
110   0.28303906
356   0.28066270
217   0.27424190
451   0.27155215
241   0.26712898
295   0.26589257
721   0.26498049
95    0.26396478
97    0.25441230
129   0.25362918
367   0.24310155
410   0.24251155
116   0.23278634
257   0.21780740
700   0.20563690
228   0.20310336
102   0.20074054
974   0.20036920
153   0.14261637
420   0.13499792
215   0.13171882
641   0.12253511
377   0.12199472
590   0.11761349
507   0.09072290
266   0.08362834
855   0.07549997
98    0.06720885
1     0.06467384
695   0.03348708
261   0.01718721
795   0.01094821
724  -0.02383655
